,0,1,2,3,4
0,0.681185157,0.696076163,0.699786812,0.69539444,0.707105179
1,0.697137634,0.705111814,0.728875931,0.721024362,0.745466279
2,0.70203764,0.717417795,0.739179082,0.757606063,0.729662402
3,0.703250732,0.73049343,0.751147458,0.743308946,0.72864737
4,0.738003223,0.704847262,0.747006492,0.740409282,0.747648206
5,0.76011683,0.736751395,0.757517086,0.768380662,0.750422561
6,0.734384861,0.730599408,0.749036782,0.75589192,0.736824551
7,0.730994762,0.768063111,0.757957989,0.75548578,0.745849491
8,0.754311342,0.743029343,0.754501325,0.759792179,0.752105139
9,0.759671675,0.727174137,0.75468016,0.759913747,0.751707163
10,0.725339413,0.759506595,0.764360159,0.75300809,0.724421866
11,0.74331538,0.773563672,0.747073022,0.729640883,0.72930373
12,0.729205177,0.752262959,0.733884376,0.769536872,0.741172006
13,0.74601459,0.757515318,0.739789424,0.768251514,0.741925005
14,0.761732746,0.751725796,0.775037831,0.732305869,0.728694463
15,0.775770607,0.74696433,0.751059207,0.766579922,0.729106749
16,0.76809894,0.755863233,0.75090739,0.753135084,0.733099188
17,0.751488568,0.742878597,0.73425508,0.761970416,0.741265725
18,0.740905842,0.743279684,0.749477215,0.771703121,0.769631608
19,0.750620852,0.762433445,0.755898562,0.750370409,0.75009055
20,0.732029951,0.771955943,0.769980551,0.733982115,0.728587229
21,0.768209765,0.763181593,0.752266967,0.749340598,0.743902257
22,0.706890145,0.740476741,0.766642565,0.708136754,0.766157924
23,0.740502683,0.741743213,0.733883502,0.740597136,0.754357981
24,0.747556896,0.752663518,0.746650606,0.735363748,0.765756601
25,0.734402699,0.758019094,0.737908301,0.734710501,0.727781588
26,0.745308244,0.772649112,0.757761114,0.776178759,0.764897643
27,0.729178913,0.769250799,0.741583087,0.739246654,0.725365611
28,0.739481922,0.76423177,0.772452176,0.737816582,0.746479809
29,0.731191983,0.744025178,0.733869286,0.775502396,0.769488153
30,0.724332564,0.768615814,0.74083408,0.747672771,0.760877906
31,0.742062167,0.73473056,0.715267974,0.746774827,0.750488968
32,0.752020831,0.718672997,0.719317661,0.740354859,0.750604234
33,0.741159688,0.73035617,0.725326312,0.745322626,0.738581797
34,0.760881498,0.736702109,0.728268322,0.745642666,0.76175134
35,0.726105177,0.714773223,0.721276507,0.716399804,0.75959199
36,0.742392256,0.752581037,0.759856735,0.75415798,0.756732996
